sector,factor,bbid,assetId,name,history
Consumer,Growth,GSCNGRWT,MABC9BDJH8DJRCEA,GS US Consumer Growth,2012-12-28
Consumer,Value,GSCNVALU,MAS5C2670BFA47Q8,GS US Consumer Value,2012-12-28
Consumer,Momentum,GSCNDMOP,MA7NY6D4DY2S4ZJN,GS US Cons Momo Pair,2011-01-31
Consumer,Momentum,GSCNMOMO,MAV2AQGRA75V8SB5,GS US Consumer Momentum,2012-12-28
Consumer,Volatility,GSCNRSVL,MAH45VEMVN1D9YQ3,GS US Consumer Residual Volatility,2012-12-28
Consumer,Beta,GSCNBETA,MAWDES9KGRF95XVC,GS US Consumer Beta,2012-12-28
Consumer,Size,GSCNSIZE,MACNPN9T0BFTJXZQ,GS US Consumer Size,2012-12-28
Consumer,Profitability,GSCNPROF,MAPRF71WFN79HFJX,GS US Consumer Profitability,2012-12-28
Consumer,Leverage,GSCNLEVG,MA6Q1QDV69J25TTM,GS US Consumer Leverage,2012-12-28
Consumer,Crowding,GSCNCRWD,MA7Q3YEY7C1S24YC,GS US Consumer Crowding,2012-12-28
Consumer,Short Interest,GSCNSHRT,MAV5YHY6BADZA46R,GS US Consumer Short Interest,2012-12-28
Financials,Growth,GSFIGRWT,MAHVQWF7ANRXDTK8,GS US Financials Growth,2012-12-28
Financials,Value,GSFIVALU,MANR1V75W666P7S0,GS US Financials Value,2012-12-28
Financials,Momentum,GSFIMOMO,MA0G5T1GQJ3KRT84,GS US Financials Momentum,2012-12-28
Financials,Momentum,GSFINMOM,MAVYWY5EC9143GV0,Financial Momo (Hi/Lo),2011-01-31
Financials,Volatility,GSFIRSVL,MA5QV4H1G1D5CPCN,GS US Financials Res Vol,2012-12-28
Financials,Beta,GSFIBETA,MAPYWQAN3TSKKK38,GS US Financials Beta,2012-12-28
Financials,Size,GSFISIZE,MAK4NBT4ZKZ5J5T5,GS US Financials Size,2012-12-28
Financials,Leverage,GSFILEVG,MAF8AD7TCYJAZHEQ,GS US Financials Leverage,2012-12-28
Financials,Crowding,GSFICRWD,MAHSBF29474GQ093,GS US Financials Crowding,2012-12-28
Financials,Short Interest,GSFISHRT,MAYZ9EG4BVT6QTWV,GS US Financials Short Interest,2012-12-28
Financials,Other,GSFIPROF,MA5FDK6XT69HH7M4,GS US Financials Prof,2012-12-28
Health Care,Growth,GSHCGRWT,MA1M1APPEM9G6FX1,GS US Health Care Growth,2012-12-28
Health Care,Value,GSHCVALU,MA5TMZRDK2BHEGQ6,GS US Health Care Value,2012-12-28
Health Care,Momentum,GSHCMOMO,MAP2TW0513B08JBK,GS US Health Care Momentum,2012-12-28
Health Care,Volatility,GSHCRSVL,MACKX99PS81G6NMA,GS US Health Care Residual Volatility,2012-12-28
Health Care,Beta,GSHCBETA,MAKXFTMC39R76J07,GS US Health Care Beta,2012-12-28
Health Care,Size,GSHCSIZE,MAAK44VMVJYTWY86,GS US Health Care Size,2012-12-28
Health Care,Crowding,GSHCCRWD,MAXF5Q7Z458M5ZD5,GS US Health Care Crowding,2013-01-30
Health Care,Short Interest,GSHCSHRT,MAX2J7X7RC1TMX73,GS US Health Care Short Interest,2012-12-28
Industrial,Growth,GSINGRWT,MAF1YR8YTFWGD9M0,GS US Industrial Growth,2012-12-28
Industrial,Value,GSINVALU,MAS72PPDGHX6S70A,GS US Industrial Value,2012-12-28
Industrial,Momentum,GSINLMOP,MAAQMX1B46JJGQ1Q,GS US Indus Momo Pair,2011-01-31
Industrial,Momentum,GSINMOMO,MAM2BAR5GJ4RZ1F6,GS US Industrial Momentum,2012-12-28
Industrial,Volatility,GSINRSVL,MA9Y34DM1TKR748Q,GS US Industrial Residual Volatility,2012-12-28
Industrial,Beta,GSINBETA,MAPRNXPV4A3EQC46,GS US Industrial Beta,2012-12-28
Industrial,Size,GSINSIZE,MAQJDEWJBMG7A5MD,GS US Industrial Size,2012-12-28
Industrial,Profitability,GSINPROF,MAWA9BG18TN46MVH,GS US Industrial Profitability,2012-12-28
Industrial,Leverage,GSINLEVG,MAGCAXD2WZQEMB0F,GS US Industrial Leverage,2012-12-28
Industrial,Crowding,GSINCRWD,MAD3G0459XXGFRPS,GS US Industrial Crowding,2012-12-28
Industrial,Short Interest,GSINSHRT,MAPK8RKZQ1MQW99N,GS US Industrial Short Interest,2012-12-28
TMT/Tech,Growth,GSTMGRWT,MAB8SV3SAPFMMQM1,GS US TMT Growth,2012-12-28
TMT/Tech,Growth,GSTMTGRO,MAR70BW7E2NPT5RC,GS US TMT Growth Pair,2011-01-31
TMT/Tech,Value,GSTMVALU,MAVESFNRW7R2M0QS,GS US TMT Value,2012-12-28
TMT/Tech,Momentum,GSTMTMOM,MA7YTR8MCQPEYR17,GS US TMT Momo Pair,2011-01-31
TMT/Tech,Momentum,GSTMMOMO,MAEWJ7SNPJJMB1T0,GS US TMT Momentum,2012-12-28
TMT/Tech,Volatility,GSTMRSVL,MA08NQDBCKPSYMZB,GS US TMT Residual Volatility,2012-12-28
TMT/Tech,Beta,GSTMBETA,MAT3T45WBMTH4N98,GS US TMT Beta,2012-12-28
TMT/Tech,Size,GSTMSIZE,MAE3HPV3SZ26QWGX,GS US TMT Size,2012-12-28
TMT/Tech,Leverage,GSTMLEVG,MAXFZ8TW4X5Y3SJX,GS US TMT Leverage,2012-12-28
TMT/Tech,Crowding,GSTMCRWD,MAT5JS8QMS2QM1BV,GS US TMT Crowding,2012-12-28
TMT/Tech,Short Interest,GSTMSHRT,MAC0EABM7Q1QFPY6,GS US TMT Short Interest,2012-12-28
TMT/Tech,Other,GSTMTGVP,MA5NJM88VAGX1MF4,GS US TMT Gro vs Val,2011-01-31
VIP vs Short (Consumer),HF Positioning,GSPRVSCS,MA4F7H3YVZCXGPHM,GS US Cons VIP vs Short,2012-03-27
VIP vs Short (Energy),HF Positioning,GSPRVSEN,MAEC8HCJDWNKH5V0,GS US En VIP vs Short,2012-03-27
VIP vs Short (Financials),HF Positioning,GSPRVSFN,MACPG3FCFXD8XE7G,GS US Fins VIP vs Short,2012-03-27
VIP vs Short (Health Care),HF Positioning,GSPFVSHC,MABDDBVNN3GC0R9Z,GS US HC VIP vs Short,2012-02-22
VIP vs Short (IT),HF Positioning,GSPRVSIT,MAWQPP3JQS85KV44,GS US IT VIP vs Short,2012-03-27
VIP vs Short (Industrials),HF Positioning,GSPRVSIN,MAF5FRQW7ZZEGG24,GS US Ind VIP vs Short,2012-03-27
VIP vs Short (Materials),HF Positioning,GSPRVSMA,MAD1K7QVX3KZWWQB,GS US Mats VIP vs Short,2012-03-27
