날짜,시간,국가,지표명,실제,이전,예측치
,09:30 AM,AU,Westpac 소비자신뢰도 변화 JUN,,3.5%,
,10:30 AM,AU,NAB 기업신뢰지수 MAY,,-24,
,12:00 PM,CN,무역수지 MAY,,$84.82B,$91.5B
,12:00 PM,CN,수출(YoY) MAY,,14.1%,14.3%
,12:00 PM,CN,수입(YoY) MAY,,25.3%,25%
,03:00 PM,DE,무역수지 APR,,€14.3B,
,11:00 PM,US,기존주택판매 MAY,,4.02M,4.05M
,10:30 AM,CN,연간 인플레이션율 (Inflation Rate) 전년 대비 (YoY) MAY,,1.2%,1.3%
,09:30 PM,US,핵심물가상승률 (MoM) MAY,,0.4%,0.3%
,09:30 PM,US,핵심물가상승률 (YoY) MAY,,2.8%,2.9%
,09:30 PM,US,인플레이션율(월별) MAY,,0.6%,0.5%
,09:30 PM,US,연간 인플레이션율 (Inflation Rate) 전년 대비 (YoY) MAY,,3.8%,4.2%
,10:45 PM,CA,BoC 금리 결정,,2.25%,2.25%
,09:15 PM,EA,예금 시설 평가,,2%,2.25%
,09:15 PM,EA,유럽중앙은행 기준금리,,2.15%,2.4%
,09:30 PM,US,생산자물가지수 (MoM) MAY,,1.4%,0.8%
,09:45 PM,EA,ECB 기자회견,,,
,03:00 PM,GB,GDP(MoM) APR,,0.3%,-0.1%
,11:00 PM,US,미시건대 소비자신뢰지수 예상 JUN,,44.8,46
,11:00 AM,CN,산업 생산 전년 동월 대비 MAY,,4.1%,
,11:00 AM,CN,연간 소매 판매 MAY,,0.2%,
,12:00 PM,JP,BOJ 금리 결정,,0.75%,
,01:30 PM,AU,RBA 금리 결정,,4.35%,
,06:00 PM,DE,ZEW 경제 심리지수 JUN,,-10.2,
,09:30 PM,US,건축 허가 사전 MAY,,1.423M,
,09:30 PM,US,신규주택착공 MAY,,1.465M,
